,instrument,expiry,strike,option_type,ttm_days,ttm_years,underlying,mid_usd,mark_iv,moneyness,volume
69,BTC-24APR26-69000-C,2026-04-24,69000,call,21,0.057534246575342465,66902.28,2120.176739682,0.46549999999999997,1.0313549852112665,74.8
70,BTC-29MAY26-76000-C,2026-05-29,76000,call,56,0.15342465753424658,67055.44,1781.974848596,0.4506,1.133390519844475,22.3
71,BTC-26JUN26-68000-C,2026-06-26,68000,call,84,0.23013698630136986,67221.15,5876.413106176499,0.48350000000000004,1.0115863831547065,11.6
72,BTC-26JUN26-65000-P,2026-06-26,65000,put,84,0.23013698630136986,67221.12,5228.3719983552,0.496,0.9669580036750355,12.8
73,BTC-6APR26-70000-P,2026-04-06,70000,put,3,0.00821917808219178,66864.03,3266.2262913834,0.3746,1.0469007028143533,0.0
74,BTC-17APR26-63000-P,2026-04-17,63000,put,14,0.038356164383561646,66883.285,1173.2879881212,0.5207,0.9419393799213062,2.9
75,BTC-6APR26-66000-P,2026-04-06,66000,put,3,0.00821917808219178,66864.03,661.1187652653,0.4025,0.9870778055106759,10.7
76,BTC-29MAY26-85000-C,2026-05-29,85000,call,56,0.15342465753424658,67055.36,558.53762112,0.45049999999999996,1.267609330559108,1176.5
77,BTC-26JUN26-70000-C,2026-06-26,70000,call,84,0.23013698630136986,67221.15,4960.7306341455,0.47609999999999997,1.0413389238357273,46.3
78,BTC-6APR26-73000-C,2026-04-06,73000,call,3,0.00821917808219178,66864.03,21.7481943978,0.4416,1.0917678757921112,0.1
79,BTC-17APR26-67000-C,2026-04-17,67000,call,14,0.038356164383561646,66883.285,2459.9953132797,0.47450000000000003,1.0017450548369446,8.0
80,BTC-6APR26-68000-P,2026-04-06,68000,put,3,0.00821917808219178,66864.03,1652.1453231909,0.37420000000000003,1.0169892541625145,0.0
81,BTC-6APR26-68000-C,2026-04-06,68000,call,3,0.00821917808219178,66864.03,507.00787436009995,0.37420000000000003,1.0169892541625145,25.4
82,BTC-6APR26-71000-C,2026-04-06,71000,call,3,0.00821917808219178,66864.03,61.9702516443,0.3907,1.0618564271402726,51.7
83,BTC-24APR26-68000-C,2026-04-24,68000,call,21,0.057534246575342465,66902.28,2562.3887680716,0.4728,1.0164078115125523,11.3
84,BTC-24APR26-55000-P,2026-04-24,55000,put,21,0.057534246575342465,66902.28,414.519836652,0.6217,0.8220945534292703,144.6
85,BTC-6APR26-67000-C,2026-04-06,67000,call,3,0.00821917808219178,66864.03,927.9711030744,0.3864,1.0020335298365952,8.2
86,BTC-29MAY26-98000-C,2026-05-29,98000,call,56,0.15342465753424658,67055.15,125.88464474949998,0.48009999999999997,1.4614835698674897,0.5
87,BTC-29MAY26-68000-C,2026-05-29,68000,call,56,0.15342465753424658,67055.44,4627.5019493896,0.48090000000000005,1.014086254597688,8.8
88,BTC-29MAY26-57000-P,2026-05-29,57000,put,56,0.15342465753424658,67055.44,1741.265490972,0.5497,0.8500428898833562,1.7
89,BTC-10APR26-73000-C,2026-04-10,73000,call,7,0.019178082191780823,66865.24,144.0304015696,0.42840000000000006,1.09174811905259,258.7
90,BTC-17APR26-73000-C,2026-04-17,73000,call,14,0.038356164383561646,66883.285,509.97100263515006,0.44049999999999995,1.0914535672104024,154.4
91,BTC-10APR26-76000-C,2026-04-10,76000,call,7,0.019178082191780823,66865.24,47.581304784000004,0.4642,1.1366144801095457,734.0
92,BTC-17APR26-66000-P,2026-04-17,66000,put,14,0.038356164383561646,66883.285,2142.50905421175,0.4861,0.986793636108035,96.6
93,BTC-29MAY26-48000-P,2026-05-29,48000,put,56,0.15342465753424658,67055.15,601.8689215095,0.6383,0.7158286872820359,6.3
94,BTC-26JUN26-86000-C,2026-06-26,86000,call,84,0.23013698630136986,67221.12,1070.4250816127999,0.4537,1.27935982024697,0.5
95,BTC-10APR26-67000-C,2026-04-10,67000,call,7,0.019178082191780823,66865.33,1664.0045845003,0.4547,1.0020140482369562,143.1
96,BTC-29MAY26-96000-C,2026-05-29,96000,call,56,0.15342465753424658,67055.36,152.81916544,0.4733,1.4316528909844046,0.0
97,BTC-26JUN26-66000-P,2026-06-26,66000,put,84,0.23013698630136986,67221.12,5669.840654054399,0.4911,0.9818342806546515,38.5
98,BTC-24APR26-60000-P,2026-04-24,60000,put,21,0.057534246575342465,66902.43,994.7180407016999,0.5527000000000001,0.8968284111653344,138.0
99,BTC-6APR26-64000-C,2026-04-06,64000,call,3,0.00821917808219178,66864.03,3100.0691768334,0.45520000000000005,0.9571663568588372,0.0
100,BTC-29MAY26-92000-C,2026-05-29,92000,call,56,0.15342465753424658,67055.15,229.92540383499997,0.46009999999999995,1.3720049839572352,3.6
101,BTC-24APR26-68000-P,2026-04-24,68000,put,21,0.057534246575342465,66902.28,3660.1086668783996,0.4728,1.0164078115125523,33.3
102,BTC-10APR26-56000-P,2026-04-10,56000,put,7,0.019178082191780823,66865.24,91.81934756800001,0.6992,0.8375054063965073,22.9
103,BTC-24APR26-73000-C,2026-04-24,73000,call,21,0.057534246575342465,66902.28,895.4147633376,0.446,1.0911436800061223,53.2
104,BTC-10APR26-67000-P,2026-04-10,67000,put,7,0.019178082191780823,66865.33,1799.2056131069999,0.4547,1.0020140482369562,225.3
105,BTC-24APR26-64000-C,2026-04-24,64000,call,21,0.057534246575342465,66902.28,4867.699504038,0.5079,0.9566191167176963,0.4
106,BTC-29MAY26-52000-P,2026-05-29,52000,put,56,0.15342465753424658,67055.44,970.1118376664001,0.5954,0.7754777241041144,2.2
107,BTC-6APR26-74000-C,2026-04-06,74000,call,3,0.00821917808219178,66864.03,14.3396598738,0.4702,1.1067236001180305,0.5
108,BTC-24APR26-70000-C,2026-04-24,70000,call,21,0.057534246575342465,66902.28,1732.006366008,0.4587,1.0463021589099804,113.8
109,BTC-24APR26-88000-C,2026-04-24,88000,call,21,0.057534246575342465,66901.77,47.0781065313,0.515,1.3153613125631802,5.5
110,BTC-6APR26-62000-P,2026-04-06,62000,put,3,0.00821917808219178,66864.03,100.1482754937,0.5257000000000001,0.9272549082069986,11.8
111,BTC-17APR26-65000-P,2026-04-17,65000,put,14,0.038356164383561646,66883.285,1760.08915790155,0.4963,0.9718422173791254,14.6
112,BTC-24APR26-83000-C,2026-04-24,83000,call,21,0.057534246575342465,66901.77,97.87862754540001,0.4722,1.240624874349363,0.5
113,BTC-29MAY26-69000-P,2026-05-29,69000,put,56,0.15342465753424658,67055.44,6102.8383058552,0.47600000000000003,1.0289992877535366,28.9
114,BTC-26JUN26-80000-C,2026-06-26,80000,call,84,0.23013698630136986,67221.12,1924.9460089535999,0.4537,1.1901021583692746,8.8
115,BTC-29MAY26-88000-C,2026-05-29,88000,call,56,0.15342465753424658,67055.15,369.4584538155,0.4511,1.312352593350399,0.6
116,BTC-6APR26-64500-P,2026-04-06,64500,put,3,0.00821917808219178,66864.03,318.1611198699,0.4434,0.964644219021797,2.7
117,BTC-29MAY26-61000-P,2026-05-29,61000,put,56,0.15342465753424658,67055.44,2743.955543608,0.5213,0.9096950225067496,9.6
118,BTC-17APR26-70000-C,2026-04-17,70000,call,14,0.038356164383561646,66883.285,1193.04865467445,0.4501,1.0465993110236735,22.6
119,BTC-10APR26-72000-C,2026-04-10,72000,call,7,0.019178082191780823,66865.24,231.0234161144,0.4278,1.076792665366938,345.3
120,BTC-29MAY26-60000-P,2026-05-29,60000,put,56,0.15342465753424658,67055.44,2453.5833601127997,0.5277000000000001,0.8947819893509013,74.8
121,BTC-26JUN26-90000-C,2026-06-26,90000,call,84,0.23013698630136986,67221.12,710.4035515392,0.4537,1.338864928165434,28.3
122,BTC-6APR26-67000-P,2026-04-06,67000,put,3,0.00821917808219178,66864.03,1073.1830602269,0.3864,1.0020335298365952,5.6
123,BTC-10APR26-63000-P,2026-04-10,63000,put,7,0.019178082191780823,66865.33,575.1147212097001,0.52,0.9421923140138544,1049.0
124,BTC-6APR26-65500-C,2026-04-06,65500,call,3,0.00821917808219178,66864.03,1874.9897623749,0.41590000000000005,0.9795999433477163,4.0
125,BTC-10APR26-71000-C,2026-04-10,71000,call,7,0.019178082191780823,66865.33,360.8875650359,0.4277,1.0618357824600582,291.0
126,BTC-24APR26-84000-C,2026-04-24,84000,call,21,0.057534246575342465,66902.28,83.84260631880001,0.48100000000000004,1.2555625906919765,3.5
127,BTC-17APR26-80000-C,2026-04-17,80000,call,14,0.038356164383561646,66883.76000000001,63.957595500000004,0.4607,1.1961050036660617,931.5
128,BTC-24APR26-71000-C,2026-04-24,71000,call,21,0.057534246575342465,66902.28,1401.2093805936,0.4532,1.0612493326086945,5.1
129,BTC-24APR26-65000-P,2026-04-24,65000,put,21,0.057534246575342465,66902.28,2318.4563649635998,0.49920000000000003,0.9715662904164103,86.6
130,BTC-17APR26-50000-P,2026-04-17,50000,put,14,0.038356164383561646,66883.76000000001,88.50794844560002,0.7578,0.7475656272912885,0.7
131,BTC-29MAY26-67000-P,2026-05-29,67000,put,56,0.15342465753424658,67055.44,5070.529194816801,0.4857,0.9991732214418397,129.5
132,BTC-17APR26-74000-C,2026-04-17,74000,call,14,0.038356164383561646,66883.76000000001,378.6068937192,0.44049999999999995,1.1063971283911072,173.2
133,BTC-29MAY26-70000-P,2026-05-29,70000,put,56,0.15342465753424658,67055.44,6670.2352875136,0.4717,1.0439123209093848,1447.8
134,BTC-17APR26-55000-P,2026-04-17,55000,put,14,0.038356164383561646,66883.76000000001,224.40370968880003,0.6516,0.8223221900204174,14.8
135,BTC-24APR26-79000-C,2026-04-24,79000,call,21,0.057534246575342465,66902.28,218.2539699984,0.4496,1.1808267221984063,19.4
