Date,BTC,RiskFree,Returns,BTC_Vol,Regime
2023-02-22,24188.84375,4.695000171661377,-0.010180396881003117,49.53101303242506,Normal
2023-02-23,23947.4921875,4.690000057220459,-0.010027916762018151,49.42724651863229,Normal
2023-02-24,23198.126953125,4.703000068664551,-0.03179206740644356,50.277038805288576,Normal
2023-02-25,23175.375,4.703000068664551,-0.000981248083164121,50.260136284315905,Normal
2023-02-26,23561.212890625,4.703000068664551,0.016511545833869257,50.57923533281321,Normal
2023-02-27,23522.87109375,4.664999961853027,-0.001628652491694882,50.576464126123035,Normal
2023-02-28,23147.353515625,4.710000038146973,-0.016092730875103014,49.62258034857418,Normal
2023-03-01,23646.55078125,4.724999904632568,0.021336804939163678,48.11748058300315,Normal
2023-03-02,23475.466796875,4.7230000495910645,-0.007261350209481709,48.00828566816206,Normal
2023-03-03,22362.6796875,4.7179999351501465,-0.04856242572977136,50.09512525698364,Normal
2023-03-04,22353.349609375,4.7179999351501465,-0.0004173035221196778,49.998453060662726,Normal
2023-03-05,22435.513671875,4.7179999351501465,0.00366895467532336,50.03229235161519,Normal
2023-03-06,22429.7578125,4.728000164031982,-0.0002565841781915384,50.017356187187865,Normal
2023-03-07,22219.76953125,4.84499979019165,-0.009406138966041635,49.816531987394825,Normal
2023-03-08,21718.080078125,4.882999897003174,-0.022837315061132093,50.33246072935679,Normal
2023-03-09,20363.021484375,4.8480000495910645,-0.06442451332853331,54.13047121825423,Normal
2023-03-10,20187.244140625,4.802999973297119,-0.00866965688311379,54.04239657383134,Normal
2023-03-11,20632.41015625,4.802999973297119,0.021812221244110887,52.156470892058216,Normal
2023-03-12,22163.94921875,4.802999973297119,0.07160391184533008,58.04240932046065,Normal
2023-03-13,24197.533203125,4.6579999923706055,0.08778363436848541,65.4629874561814,Normal
2023-03-14,24746.07421875,4.679999828338623,0.02241616479750579,65.7398906879063,Normal
2023-03-15,24375.9609375,4.558000087738037,-0.015069419825617957,66.07730020857075,Normal
2023-03-16,25052.7890625,4.53000020980835,0.027387721969650478,66.39275003681344,Normal
2023-03-17,27423.9296875,4.293000221252441,0.09043081735478727,66.50050945280039,Normal
2023-03-18,26965.87890625,4.293000221252441,-0.016843655914946763,65.90102883606012,Normal
2023-03-19,28038.67578125,4.293000221252441,0.03901251239696352,65.89482534397253,Normal
2023-03-20,27767.236328125,4.465000152587891,-0.009728058677075274,66.07849411579043,Normal
2023-03-21,28175.81640625,4.605000019073486,0.014607259457310753,65.8934049017129,Normal
2023-03-22,27307.4375,4.563000202178955,-0.031304934786025286,66.8234950984663,Normal
2023-03-23,28333.97265625,4.502999782562256,0.03690243092144147,67.46009682463409,Normal
2023-03-24,27493.28515625,4.502999782562256,-0.03011973318555565,68.37465780132456,Normal
2023-03-25,27494.70703125,4.502999782562256,5.171583626720892e-05,68.19956986741195,Normal
2023-03-26,27994.330078125,4.502999782562256,0.01800847790347154,67.05714668650758,Normal
2023-03-27,27139.888671875,4.583000183105469,-0.030997440056033318,68.27170301999413,Normal
2023-03-28,27268.130859375,4.627999782562256,0.004714100093914092,68.15098341618278,Normal
2023-03-29,28348.44140625,4.630000114440918,0.03885339931269162,69.12101314454996,Normal
2023-03-30,28033.5625,4.664999961853027,-0.011169598741333131,68.94209050620753,Normal
2023-03-31,28478.484375,4.585000038146973,0.015746414888453637,68.8169469875446,Normal
2023-04-01,28411.03515625,4.585000038146973,-0.0023712364214005313,68.71764009720637,Normal
2023-04-02,28199.30859375,4.585000038146973,-0.007480171844976413,66.0263219211732,Normal
2023-04-03,27790.220703125,4.570000171661377,-0.014613274150394037,66.43123315175148,Normal
2023-04-04,28168.08984375,4.728000164031982,0.01350558587463783,66.45296730766862,Normal
2023-04-05,28177.984375,4.704999923706055,0.0003512057047058866,66.44427823273669,Normal
2023-04-06,28044.140625,4.710000038146973,-0.004761257346579407,66.3142296237221,Normal
2023-04-07,27925.859375,4.710000038146973,-0.00422660089629551,65.54675061834389,Normal
2023-04-08,27947.794921875,4.710000038146973,0.0007851839396583646,60.15530183295146,Normal
2023-04-09,28333.05078125,4.710000038146973,0.01369069252890777,59.76026492941698,Normal
2023-04-10,29652.98046875,4.8379998207092285,0.045533646757390224,60.84839648035456,Normal
2023-04-11,30235.05859375,4.880000114440918,0.019439489564332186,57.02734230097343,Normal
2023-04-12,30139.052734375,4.860000133514404,-0.0031803678161343176,49.85786463363468,Normal
2023-04-13,30399.06640625,4.855000019073486,0.008590133768281546,49.563304281885415,Normal
2023-04-14,30485.69921875,4.9029998779296875,0.002845797962018112,48.9559391298211,Normal
2023-04-15,30318.49609375,4.9029998779296875,-0.0054997371675221595,48.613426786166976,Normal
2023-04-16,30315.35546875,4.9029998779296875,-0.00010359312238552485,38.007032635643455,Calm
2023-04-17,29445.044921875,4.922999858856201,-0.02912872327682135,39.05531560068104,Calm
2023-04-18,30397.552734375,5.03000020980835,0.03183646099781629,38.29369761657823,Calm
2023-04-19,28822.6796875,4.994999885559082,-0.05319953662867234,42.8047426029772,Normal
2023-04-20,28245.98828125,4.945000171661377,-0.020211126619281063,43.15804410883694,Normal
2023-04-21,27276.91015625,4.949999809265137,-0.034910877271712444,43.505052784908536,Normal
2023-04-22,27817.5,4.949999809265137,0.019624756556398195,42.051763541465476,Normal
2023-04-23,27591.384765625,4.949999809265137,-0.008161741227378502,40.79117212883449,Normal
2023-04-24,27525.33984375,4.873000144958496,-0.0023965485595713668,40.80061630611397,Normal
2023-04-25,28307.59765625,4.953000068664551,0.02802320777395386,41.49937005525052,Normal
2023-04-26,28422.701171875,4.985000133514404,0.004057925868580612,39.936297405008105,Calm
2023-04-27,29473.787109375,5.0,0.03631313286229464,41.733005846979076,Normal
2023-04-28,29340.26171875,4.922999858856201,-0.004540602889751968,39.681990418432655,Calm
2023-04-29,29248.48828125,4.922999858856201,-0.0031328032278842735,39.46648074043812,Calm
2023-04-30,29268.806640625,4.922999858856201,0.0006944394889976754,39.12625829542938,Calm
2023-05-01,28091.568359375,4.864999771118164,-0.041052856211014906,41.77180334584335,Normal
2023-05-02,28680.537109375,5.039999961853027,0.020749270291120427,42.32450932578634,Normal
2023-05-03,29006.30859375,5.09499979019165,0.011294600825028724,42.11944901614966,Normal
2023-05-04,28847.7109375,5.054999828338623,-0.005482697825375376,41.954561316478085,Normal
2023-05-05,29534.384765625,5.079999923706055,0.02352452363535224,42.69582574169958,Normal
2023-05-06,28904.623046875,5.079999923706055,-0.02155362050914689,43.404975878843345,Normal
2023-05-07,28454.978515625,5.079999923706055,-0.015678412319992844,43.76112209162601,Normal
2023-05-08,27694.2734375,5.083000183105469,-0.027097480312589104,44.816348522970436,Normal
2023-05-09,27658.775390625,5.123000144958496,-0.0012826051136456092,44.53128878031581,Normal
2023-05-10,27621.755859375,5.065000057220459,-0.0013393336115541375,41.27492364936289,Normal
2023-05-11,27000.7890625,5.014999866485596,-0.0227376278728039,41.091992983865715,Normal
2023-05-12,26804.990234375,5.0279998779296875,-0.007278017155925187,41.109431134061694,Normal
2023-05-13,26784.078125,5.0279998779296875,-0.0007804618022563855,40.88017217172619,Normal
2023-05-14,26930.638671875,5.0279998779296875,0.0054570113859458225,40.94706991382175,Normal
2023-05-15,27192.693359375,5.0,0.009683688179724162,41.22484451384837,Normal
2023-05-16,27036.650390625,5.058000087738037,-0.005754943306692564,41.211178701806354,Normal
2023-05-17,27398.802734375,5.0879998207092285,0.013305949198470446,40.58390793789289,Calm
2023-05-18,26832.208984375,5.125,-0.020896322938492334,39.12681161305266,Calm
2023-05-19,26890.12890625,5.085000038146973,0.0021562704301694635,34.93381143565696,Calm
2023-05-20,27129.5859375,5.085000038146973,0.008865600285434393,34.528774044230495,Calm
2023-05-21,26753.826171875,5.085000038146973,-0.01394736681453699,32.689034211940644,Calm
2023-05-22,26851.27734375,5.09499979019165,0.0036358955711424203,31.907572180181926,Calm
2023-05-23,27225.7265625,5.1529998779296875,0.013848962643426162,32.22336190659025,Calm
